#;CAMINHO NO XML;CAMPO;"REGRAS DE NEGÓCIO PARA A NOTA FISCAL DE SERVIÇO ELETRÔNICA DO 
SISTEMA NACIONAL NFS-e";;;;;;"NÍVEL
DA REGRA";"EMISSORES PÚBLICOS NACIONAIS NFS-e
(SEFIN, WEB, APP)";;ADN NFS-e;;OBSERVAÇÕES DE NEGÓCIO;;;
80;NFSe/infNFSe/IBSCBS/valores/mun/;pIBSMun;A alíquota do Município para IBS deve ser igual ao valor IBSCBS/gIBSCBS/gIBSMun/pIBSMun retornado pela Calculadora;;Obrig.;Rej.;E1578;Alíquota do Município para IBS incorreta.;1;V;V;V;V;"CALCULADORA
Margem de erro de R$ 0,01";;;
81;NFSe/infNFSe/IBSCBS/valores/mun/;pRedAliqMun;O percentual redutor de alíquota para o IBS municipal não deve ser informado se o código da classificação tributária - cClassTribIBSCBS informado na DPS não possuir essa indicação.;;Obrig.;Rej.;E1545;O percentual redutor de alíquota para o IBS municipal não deve ser informado para o código da classificação tributária - cClassTribIBSCBS informado na DPS.;1;V;V;V;V;-;;;
82;;;O percentual redutor de alíquota para o IBS municipal deve ser informado se o código da classificação tributária - cClassTribIBSCBS informado na DPS possuir essa indicação.;;Obrig.;Rej.;E1546;O percentual redutor de alíquota para o IBS municipal deve ser informado para o código da classificação tributária - cClassTribIBSCBS informado na DPS.;1;V;V;V;V;-;;;
83;;;O percentual redutor de alíquota para o IBS municipal informado deve ser o mesmo indicado para o código da classificação tributária - cClassTribIBSCBS informado na DPS.;;Obrig.;Rej.;E1547;O percentual redutor de alíquota para o IBS municipal informado difere do indicado para o o código da classificação tributária - cClassTribIBSCBS informado na DPS.;1;V;V;V;V;-;;;
84;;;O percentual de redução de alíquota municipal deve ser igual ao valor IBSCBS/gIBSCBS/gIBSMun/gRed/pRedAliq retornado pela Calculadora;;Obrig.;Rej.;E1548;Percentual de redução de alíquota municipal incorreto.;1;V;V;V;V;"CALCULADORA
Margem de erro de R$ 0,01";;;
85;NFSe/infNFSe/IBSCBS/valores/mun/;pAliqEfetMun;A alíquota efetiva do Município para IBS deve ser igual ao valor IBSCBS/gIBSCBS/gIBSMun/gRed/pAliqEfet retornado pela Calculadora;;Obrig.;Rej.;E1549;Alíquota efetiva do Município para IBS incorreta.;1;V;V;V;V;"CALCULADORA
Margem de erro de R$ 0,01";;;
86;NFSe/infNFSe/IBSCBS/valores/;fed;-;;-;-;-;-;-;-;-;-;-;-;;;
87;NFSe/infNFSe/IBSCBS/valores/fed/;pCBS;A alíquota da União para CBS deve ser igual ao valor IBSCBS/gIBSCBS/gCBS/pCBS retornado pela Calculadora;;Obrig.;Rej.;E1558;Alíquota da União para CBS incorreta.;1;V;V;V;V;"CALCULADORA
Margem de erro de R$ 0,01";;;
88;NFSe/infNFSe/IBSCBS/valores/fed/;pRedAliqCBS;O percentual redutor de alíquota para a CBS não deve ser informado se o código da classificação tributária - cClassTribIBSCBS informado na DPS não possuir essa indicação.;;Obrig.;Rej.;E1550;O percentual redutor de alíquota para a CBS não deve ser informado para o código da classificação tributária - cClassTribIBSCBS informado na DPS.;1;V;V;V;V;-;;;
89;;;O percentual redutor de alíquota para a CBS deve ser informado se o código da classificação tributária - cClassTribIBSCBS informado na DPS possuir essa indicação.;;Obrig.;Rej.;E1551;O percentual redutor de alíquota para a CBS deve ser informado para o código da classificação tributária - cClassTribIBSCBS informado na DPS.;1;V;V;V;V;-;;;
90;;;O percentual redutor de alíquota para a CBS informado deve ser o mesmo indicado para o código da classificação tributária - cClassTribIBSCBS informado na DPS.;;Obrig.;Rej.;E1552;O percentual redutor de alíquota para a CBS informado difere do indicado para o o código da classificação tributária - cClassTribIBSCBS informado na DPS.;1;V;V;V;V;-;;;
91;;;O percentual redutor de alíquota para a CBS deve ser igual ao valor IBSCBS/gIBSCBS/gCBS/gRed/pRedAliq retornado pela Calculadora;;Obrig.;Rej.;E1553;Percentual redutor de alíquota para a CBS incorreto.;1;V;V;V;V;"CALCULADORA
Margem de erro de R$ 0,01";;;
92;NFSe/infNFSe/IBSCBS/valores/fed/;pAliqEfetCBS;A alíquota efetiva da União para CBS deve ser igual ao valor IBSCBS/gIBSCBS/gCBS/gRed/pAliqEfet retornado pela Calculadora;;Obrig.;Rej.;E1554;Alíquota efetiva da União para CBS incorreta.;1;V;V;V;V;"CALCULADORA
Margem de erro de R$ 0,01";;;
93;NFSe/infNFSe/IBSCBS/;totCIBS;-;;-;-;-;-;-;-;-;-;-;-;;;
94;NFSe/infNFSe/IBSCBS/totCIBS/;vTotNF;"O valor total da NFS-e considerando os impostos por fora (IBS e CBS) é calculado a partir dos valores informados na NFS-e:
vTotNF = vLiq (em 2026)
vTotNF = vLiq + vCBS + vIBSTot (a partir de 2027)";;Obrig.;Rej.;E1555;Valor total da NFS-e está incorreto.;1;V;V;V;V;-;;;
95;NFSe/infNFSe/IBSCBS/totCIBS/;gIBS;-;;-;-;-;-;-;-;-;-;-;-;;;
96;NFSe/infNFSe/IBSCBS/totCIBS/gIBS/;vIBSTot; O valor total do IBS deve ser igual ao valor total/IBSCBSTot/vIBS retornado pela Calculadora;;Obrig.;Rej.;E1556;Valor total do IBS incorreto.;1;V;V;V;V;"CALCULADORA
Margem de erro de R$ 0,01";;;
97;NFSe/infNFSe/IBSCBS/totCIBS/gIBS/;gIBSCredPres;O grupo de crédito presumido para IBS não deve ser informado se o código do crédito presumido - cCredPres não foi informado na DPS.;;Obrig.;Rej.;E1560;Grupo crédito presumido para IBS não deve ser informado.;1;V;V;V;V;-;;;
98;;;O grupo de crédito presumido para IBS deve ser informado se o código do crédito presumido - cCredPres foi informado na DPS.;;Obrig.;Rej.;E1561;Grupo crédito presumido para IBS deve ser informado.;1;V;V;V;V;-;;;
99;NFSe/infNFSe/IBSCBS/totCIBS/gIBS/gIBSCredPres/;pCredPresIBS;-;;-;-;-;-;-;-;-;-;-;-;;;
100;NFSe/infNFSe/IBSCBS/totCIBS/gIBS/gIBSCredPres/;vCredPresIBS;-;;-;-;-;-;-;-;-;-;-;-;;;
101;NFSe/infNFSe/IBSCBS/totCIBS/gIBS/;gIBSUFTot;-;;-;-;-;-;-;-;-;-;-;-;;;
102;NFSe/infNFSe/IBSCBS/totCIBS/gIBS/gIBSUFTot/;vDifUF;O valor do diferimento para o IBS estadual não deve ser informado se não foi informada, na DPS, a alíquota para o diferimento do IBS estadual - pDifUF.;;Obrig.;Rej.;E1565;Valor do diferimento para o IBS estadual não deve ser informado.;1;V;V;V;V;-;;;
103;;;O valor do diferimento para o IBS estadual deve ser informado se foi informada, na DPS, a alíquota para o diferimento do IBS estadual - pDifUF.;;Obrig.;Rej.;E1566;Valor do diferimento para o IBS estadual deve ser informado.;1;V;V;V;V;-;;;
104;;; O valor do diferimento para o IBS estadual deve ser igual ao valor total/IBSCBSTot/gIBSUF/vDif retornado pela Calculadora;;Obrig.;Rej.;E1567;Valor do diferimento para o IBS estadual incorreto.;1;V;V;V;V;"CALCULADORA
Margem de erro de R$ 0,01";;;
105;NFSe/infNFSe/IBSCBS/totCIBS/gIBS/gIBSUFTot/;vIBSUF; O valor total do IBS estadual deve ser igual ao valor total/IBSCBSTot/gIBSUF/vIBSUF retornado pela Calculadora;;Obrig.;Rej.;E1568;Valor total do IBS estadual incorreto.;1;V;V;V;V;"CALCULADORA
Margem de erro de R$ 0,01";;;
106;NFSe/infNFSe/IBSCBS/totCIBS/gIBS/;gIBSMunTot;-;;-;-;-;-;-;-;-;-;-;-;;;
107;NFSe/infNFSe/IBSCBS/totCIBS/gIBS/gIBSMunTot/;vDifMun;O valor do diferimento para o IBS municipal não deve ser informado se não foi informada, na DPS, a alíquota para o diferimento do IBS municipal - pDifMun.;;Obrig.;Rej.;E1569;Valor do diferimento para o IBS municipal não deve ser informado.;1;V;V;V;V;-;;;
108;;;O valor do diferimento para o IBS municipal deve ser informado se foi informada, na DPS, a alíquota para o diferimento do IBS municipal - pDifMun.;;Obrig.;Rej.;E1570;Valor do diferimento para o IBS municipal deve ser informado.;1;V;V;V;V;-;;;
109;;; O valor do diferimento para o IBS municipal deve ser igual ao valor total/IBSCBSTot/gIBSMun/vDif retornado pela Calculadora;;Obrig.;Rej.;E1571;Valor do diferimento para o IBS municipal incorreto.;1;V;V;V;V;"CALCULADORA
Margem de erro de R$ 0,01";;;
110;NFSe/infNFSe/IBSCBS/totCIBS/gIBS/gIBSMunTot/;vIBSMun; O valor total do IBS municipal deve ser igual ao valor total/IBSCBSTot/gIBSMun/vIBSUF retornado pela Calculadora;;Obrig.;Rej.;E1572;Valor total do IBS municipal incorreto.;1;V;V;V;V;"CALCULADORA
Margem de erro de R$ 0,01";;;
111;NFSe/infNFSe/IBSCBS/totCIBS/;gCBS;-;;-;-;-;-;-;-;-;-;-;-;;;
112;NFSe/infNFSe/IBSCBS/totCIBS/gCBS/;gCBSCredPres;O grupo de crédito presumido para CBS não deve ser informado se o código do crédito presumido - cCredPres não foi informado na DPS.;;Obrig.;Rej.;E1575;Grupo crédito presumido para CBS não deve ser informado.;1;V;V;V;V;-;;;
113;;;O grupo de crédito presumido para CBS deve ser informado se o código do crédito presumido - cCredPres também foi informado na DPS.;;Obrig.;Rej.;E1576;Grupo crédito presumido para CBS deve ser informado.;1;V;V;V;V;-;;;
114;NFSe/infNFSe/IBSCBS/totCIBS/gCBS/gCBSCredPres/;pCredPresCBS;-;;-;-;-;-;-;-;-;-;-;-;;;
115;NFSe/infNFSe/IBSCBS/totCIBS/gCBS/gCBSCredPres/;vCredPresCBS;-;;-;-;-;-;-;-;-;-;-;-;;;
116;NFSe/infNFSe/IBSCBS/totCIBS/gCBS/;vDifCBS;O valor do diferimento para a CBS não deve ser informado se foi não informada, na DPS, a alíquota para o diferimento da CBS - pDifCBS.;;Obrig.;Rej.;E1570;Valor do diferimento para a CBS não deve ser informado.;1;V;V;V;V;-;;;
117;;;O valor do diferimento para a CBS deve ser informado se foi informada, na DPS, a alíquota para o diferimento da CBS - pDifCBS.;;Obrig.;Rej.;E1580;Valor do diferimento para a CBS deve ser informado.;1;V;V;V;V;-;;;
118;;; O valor do diferimento para a CBS deve ser igual ao valor total/IBSCBSTot/gCBS/vDif retornado pela Calculadora;;Obrig.;Rej.;E1581;Valor do diferimento para a CBS incorreto.;1;V;V;V;V;"CALCULADORA
Margem de erro de R$ 0,01";;;
119;NFSe/infNFSe/IBSCBS/totCIBS/gCBS/;vCBS; O valor total da CBS da União deve ser igual ao valor total/IBSCBSTot/gCBS/vCBS retornado pela Calculadora;;Obrig.;Rej.;E1582;Valor total da CBS da União incorreto.;1;V;V;V;V;CALCULADORA;;;
120;NFSe/infNFSe/IBSCBS/totCIBS/;gTribRegular; O grupo de tributação regular não deve ser informado se o indicador para tributação regular (exigeGrupoTributacaoRegular) para o código da classificação tributária - cClassTribIBSCBS for igual a false;;Obrig.;Rej.;E1583;Grupo de tributação regular não deve ser informado para o cClassTribIBSCBS indicado.;1;V;V;V;V;CALCULADORA;;;
121;;; O grupo de tributação regular deve ser informado se o indicador para tributação regular (exigeGrupoTributacaoRegular) para o código da classificação tributária - cClassTribIBSCBS for igual a true;;Obrig.;Rej.;E1584;Grupo de tributação regular deve ser informado para o cClassTribIBSCBS indicado.;1;V;V;V;V;"CALCULADORA
Margem de erro de R$ 0,01";;;
122;NFSe/infNFSe/IBSCBS/totCIBS/gTribRegular/;pAliqEfeRegIBSUF; A alíquota efetiva de tributação regular do IBS estadual deve ser igual ao valor IBSCBS/gIBSCBS/gTribRegular/pAliqEfetRegIBSUF retornado pela Calculadora;;Obrig.;Rej.;E1585;Alíquota efetiva de tributação regular do IBS estadual incorreta.;1;V;V;V;V;"CALCULADORA
Margem de erro de R$ 0,01";;;
123;NFSe/infNFSe/IBSCBS/totCIBS/gTribRegular/;vTribRegIBSUF; O valor da tributação regular do IBS estadual deve ser igual ao valor IBSCBS/gIBSCBS/gTribRegular/vTribRegIBSUF retornado pela Calculadora;;Obrig.;Rej.;E1586;Valor da tributação regular do IBS estadual incorreto.;1;V;V;V;V;"CALCULADORA
Margem de erro de R$ 0,01";;;
124;NFSe/infNFSe/IBSCBS/totCIBS/gTribRegular/;pAliqEfeRegIBSMun; A alíquota efetiva de tributação regular do IBS municipal deve ser igual ao valor IBSCBS/gIBSCBS/gTribRegular/pAliqEfetRegIBSMun retornado pela Calculadora;;Obrig.;Rej.;E1587;Alíquota efetiva de tributação regular do IBS municipal incorreta.;1;V;V;V;V;"CALCULADORA
Margem de erro de R$ 0,01";;;
125;NFSe/infNFSe/IBSCBS/totCIBS/gTribRegular/;vTribRegIBSMun; O valor da tributação regular do IBS municipal deve ser igual ao valor IBSCBS/gIBSCBS/gTribRegular/vTribRegIBSMun retornado pela Calculadora;;Obrig.;Rej.;E1588;Valor da tributação regular do IBS municipal incorreto.;1;V;V;V;V;"CALCULADORA
Margem de erro de R$ 0,01";;;
126;NFSe/infNFSe/IBSCBS/totCIBS/gTribRegular/;pAliqEfeRegCBS; A alíquota efetiva de tributação regular da CBS deve ser igual ao valor IBSCBS/gIBSCBS/gTribRegular/pAliqEfetRegCBS retornado pela Calculadora;;Obrig.;Rej.;E1589;Alíquota efetiva de tributação regular da CBS incorreta.;1;V;V;V;V;"CALCULADORA
Margem de erro de R$ 0,01";;;
127;NFSe/infNFSe/IBSCBS/totCIBS/gTribRegular/;vTribRegCBS; O valor da tributação regular da CBS deve ser igual ao valor IBSCBS/gIBSCBS/gTribRegular/vTribRegCBS retornado pela Calculadora;;Obrig.;Rej.;E1590;Valor da tributação regular da CBS incorreto.;1;V;V;V;V;"CALCULADORA
Margem de erro de R$ 0,01";;;
128;NFSe/infNFSe/IBSCBS/totCIBS/;gTribCompraGov;O grupo de tributação para compras governamentais não deve ser informado para essas operações (tpEnteGov não foi informado informado na DPS).;;Obrig.;Rej.;E1600;Grupo de compras governamentais não deve ser informando quando o tpEnteGov não foi informado na DPS.;1;V;V;V;V;-;;;
129;;;O grupo de tributação para compras governamentais deve ser informado para essas operações (tpEnteGov foi informado informado na DPS).;;Obrig.;Rej.;E1601;Grupo de compras governamentais deve ser informando quando o tpEnteGov não foi informado na DPS.;1;V;V;V;V;-;;;
130;NFSe/infNFSe/IBSCBS/totCIBS/gTribCompraGov;pIBSUF; A alíquota do IBS de competência do Estado deve ser igual ao valor IBSCBS/gIBSCBS/gTribCompraGov/pAliqIBSUF retornado pela Calculadora;;Obrig.;Rej.;E1602;Alíquota do IBS de competência do Estado incorreta.;1;V;V;V;V;"CALCULADORA
Margem de erro de R$ 0,01";;;
131;NFSe/infNFSe/IBSCBS/totCIBS/gTribCompraGov;vIBSUF; O valor do Tributo do IBS da UF deve ser igual ao valor IBSCBS/gIBSCBS/gTribCompraGov/vTribIBSUF retornado pela Calculadora;;Obrig.;Rej.;E1603;Valor do Tributo do IBS da UF incorreto.;1;V;V;V;V;"CALCULADORA
Margem de erro de R$ 0,01";;;
132;NFSe/infNFSe/IBSCBS/totCIBS/gTribCompraGov;pIBSMun;" A alíquota do IBS de competência do
Município deve ser igual ao valor IBSCBS/gIBSCBS/gTribCompraGov/pAliqIBSMun retornado pela Calculadora";;Obrig.;Rej.;E1604;"Alíquota do IBS de competência do
Município incorreta.";1;V;V;V;V;"CALCULADORA
Margem de erro de R$ 0,01";;;
133;NFSe/infNFSe/IBSCBS/totCIBS/gTribCompraGov;vIBSMun; O valor do Tributo do IBS do Município deve ser igual ao valor IBSCBS/gIBSCBS/gTribCompraGov/vTribIBSMun retornado pela Calculadora;;Obrig.;Rej.;E1605;Valor do Tributo do IBS do Município incorreto.;1;V;V;V;V;"CALCULADORA
Margem de erro de R$ 0,01";;;
134;NFSe/infNFSe/IBSCBS/totCIBS/gTribCompraGov;pCBS; A alíquota da CBS deve ser igual ao valor IBSCBS/gIBSCBS/gTribCompraGov/pAliqCBS retornado pela Calculadora;;Obrig.;Rej.;E1606;Alíquota da CBS incorreta.;1;V;V;V;V;"CALCULADORA
Margem de erro de R$ 0,01";;;
135;NFSe/infNFSe/IBSCBS/totCIBS/gTribCompraGov;vCBS; O valor do Tributo da CBS deve ser igual ao valor IBSCBS/gIBSCBS/gTribCompraGov/vTribCBS retornado pela Calculadora;;Obrig.;Rej.;E1607;Valor do Tributo da CBS incorreto.;1;V;V;V;V;"CALCULADORA
Margem de erro de R$ 0,01";;;
136;NFSe/infNFSe/;DPS;-;;-;-;-;-;-;-;-;-;-;-;;;
137;NFSe/infNFSe/DPS/;versao;Prazo de aceitação da versão do leiaute DPS ultrapassado.;;Obrig.;Rej.;E0001;O prazo de aceitação da versão do leiaute da DPS expirou.;1;V;V;V;V;-;;;
138;NFSe/infNFSe/DPS/;infDPS;-;;-;-;-;-;-;-;-;-;-;-;;;
139;NFSe/infNFSe/DPS/infDPS/;id;"O identificador da DPS é formado conforme a concatenação dos seguintes campos:
""DPS"" + Cód.Mun.Emi. + Tipo de Inscrição Federal + Inscrição Federal + Série DPS + Núm. DPS

Campo identificador da DPS inválido.
Identificador da DPS difere da concatenação dos campos correspondentes.
""DPS"" + Cód.Mun.Emi. + Tipo de Inscrição Federal + Inscrição Federal + Série DPS + Núm. DPS 

Verificar se tipo de inscrição e inscrição, informados no identificador da DPS, estão corretamente correspondidos conforme o seguinte:

Tipo de inscrição Federal = 1 / Inscrição Federal = CPF emitente da DPS;
Tipo de inscrição Federal = 2 / Inscrição Federal = CNPJ emitente da DPS;

Cód.Mun.Emi. é o código do município do endereço do emitente da DPS.";;Obrig.;Rej.;E0004;Conteúdo do identificador informado na DPS difere da concatenação dos campos correspondentes.;1;V;V;V;V;-;;;
140;NFSe/infNFSe/DPS/infDPS/;tpAmb;Ambiente informado diverge do ambiente de recebimento para o qual o emitente enviou a DPS.;;Obrig.;Rej.;E0006;Ambiente informado diverge do ambiente de recebimento para o qual o emitente enviou a DPS.;1;V;V;V;V;-;;;
141;NFSe/infNFSe/DPS/infDPS/;dhEmi;A data de emissão da DPS deve ser anterior ou igual à data e hora do seu processamento (dhProc) pelo Sistema Nacional NFS-e.;;Obrig.;Rej.;E0008;A data e hora de emissão da DPS deve ser anterior ou igual à data do seu processamento (dhProc) pelo Sistema Nacional NFS-e.;1;V;V;V;V;-;;;
142;;;A data de compartilhamento do DF-e não pode ser posterior à há mais de 6 anos de sua emissão.;;Obrig.;Rej.;E1294;Prazo para entrega da DF-e excedido.;1;X;X;V;X;-;;;
143;NFSe/infNFSe/DPS/infDPS/;verAplic;-;;-;-;-;-;-;-;-;-;-;-;;;
144;NFSe/infNFSe/DPS/infDPS/;serie;A série informada na DPS não pertence à faixa definida para o tipo de emissor utilizado para a sua emissão.;;Obrig.;Rej.;E0010;A série informada na DPS não pertence à faixa definida para o tipo de emissor utilizado para a sua emissão.;1;V;V;X;X;"Faixas de utilização da série da DPS:

00001 a 49999 - Emissão com aplicativo pŕoprio;
50000 a 69999 - Emissor Móvel;
70000 a 79999 - Emissor Web;
80000 a 89999 - Emissão com *transcrissão manual (Web);

*O emitente deve informar o número de série (transcrever o número de série) que foi repassado ao não emitente da NFS-e.";;;
145;;;Conjunto de Série, Número, Código do Município Emissor e CNPJ/CPF informado nesta DPS já existe em uma NFS-e gerada a partir de uma DPS enviada anteriormente.;;Obrig.;Rej.;E0014;Conjunto de Série, Número, Código do Município Emissor e CNPJ/CPF informado nesta DPS já existe em uma NFS-e gerada a partir de uma DPS enviada anteriormente.;1;V;V;V;V;-;;;
146;NFSe/infNFSe/DPS/infDPS/;nDPS;;;;;;;;;;;;;;;
147;NFSe/infNFSe/DPS/infDPS/;dCompet;A data de competência informada na DPS deve ser anterior ou igual à data de emissão (dhEmi) da DPS.;;Obrig.;Rej.;E0015;A data de competência informada na DPS não pode ser posterior à data de emissão (dhEmi) da DPS.;1;V;V;V;V;-;;;
148;;;"A data de competência deve ser igual ou posterior à data de ativação do convênio do município emissor informado na DPS.

Exceto quando o emitente da DPS for MEI (opSimpNac = 2) na data de competência da emissão da NFS-e.";;Obrig.;Rej.;E0016;A data de competência deve ser igual ou posterior à data de ativação do convênio do município emissor informado na DPS, exceto quando o emitente for MEI na data de competëncia informada.;1;V;V;X;X;"Regras idênticas mas aplicadas em sistemas diferentes. 
A primeira é realizada apenas na Sefin e 
a segunda é realizada apena no ADN.";;;
